title,id,activity,status
"Add C API for gc.enable, gc.disable, and gc.isenabled",28254,2019-12-13.13:24:48,2
Documentation: Coroutines,39034,2019-12-13.12:50:19,1
"mock.patch interactions with ""from"" imports",27197,2019-12-13.11:16:14,1
mock.patch decorating a generator returns a regular function.,27341,2019-12-13.11:13:51,1
Add __qualname__ for attributes of Mock instances,32952,2019-12-13.11:03:26,1
"Simplify ""with""-related opcodes",32949,2019-12-13.06:52:43,2
pathlib: test_resolve_common fails on Windows w/ longusername,32907,2019-12-13.03:00:51,2
dataclass defaults behave inconsistently for init=True/init=False when default is a descriptor,38947,2019-12-12.23:47:54,1
Dictionary addition. (PEP 584),36144,2019-12-12.21:16:45,1
Allow py launcher to launch other registered Pythons,32730,2019-12-12.18:09:32,1
[MinGW] Crash at start when compiled by MinGW for 64-bit Windows using PC/pyconfig.h,28267,2019-12-12.16:06:06,1
Ctypes unions with bitfield members that do not share memory,39030,2019-12-12.15:41:56,1
regression - mimetypes guess_type is confused by ; in the filename,38449,2019-12-12.15:24:35,2
Fix sort order in Misc/ACKS.,19038,2019-12-12.13:47:35,2
TestMaildir.test_clean fails randomly under parallel tests,39029,2019-12-12.10:30:30,1
IDLE: Warn user about overwriting a file that has a newer version on filesystem,6699,2019-12-12.10:21:06,1
run_coroutine_threadsafe uses wrong TimeoutError,39027,2019-12-12.10:05:03,1
DeprecationWarnings of implicitly truncations by __int__ appearing in the standard library,39015,2019-12-12.09:18:19,3
"On Linux, os.count() should read cgroup cpu.shares and cpu.cfs (CPU count inside docker container)",36054,2019-12-12.06:10:40,1
shutil.copyfile raises SpecialFileError for symlink to fifo,37701,2019-12-12.05:23:32,1
Max Recursion Depth Reached in Logging Library,38921,2019-12-12.03:24:38,1
possible problem with 64-bit mingw DECREF,39001,2019-12-11.23:40:14,2
Negative Refcount in Python 3.8,39016,2019-12-11.22:46:06,2
Add timeout constants to test.support,38614,2019-12-11.21:26:41,2
Make tempfiles subclass IOBase,33762,2019-12-11.20:46:17,2
GenericPyCData_new does not invoke new or init,38860,2019-12-11.18:31:59,1
Lingering subinterpreters should be implicitly cleared on shutdown,36225,2019-12-11.16:55:39,1
shutil.move raises OSError when copystat fails,1438480,2019-12-11.16:18:10,1
pystate.h contains non-relative of initconfig.h include causing macOS Framework include failure,39026,2019-12-11.15:57:00,1
Make the PyGILState API compatible with multiple interpreters,10915,2019-12-11.14:02:28,1
Type cache is not correctly invalidated on a class defining mro(),28866,2019-12-11.12:36:42,1
Asyncio Fatal Error on SSL Transport - IndexError Deque Index Out Of Range,37226,2019-12-11.09:13:16,2
Compiling relative paths test fails (install via pyenv),39024,2019-12-11.06:36:54,2
importlib.metadata documentation deficiencies,38594,2019-12-11.02:45:25,2
Synchronize importlib.metadata with importlib_metadata 1.3,39022,2019-12-11.02:45:21,2
random.seed with string and version 1 not deterministic in 3.5.2,39023,2019-12-11.01:41:51,2
nuget package published as 3.8.1-c1 instead of rc1,39012,2019-12-10.23:40:10,2
multiprocessing is_alive() between children processes,39021,2019-12-10.23:22:54,1
[AIX] module _curses fails to build since ESCDELAY has been added,39020,2019-12-10.22:47:09,1
Infinite loop in the tarfile module,39017,2019-12-10.21:37:50,1
"Tkinter widget.unbind(sequence, funcid) unbind all bindings",31485,2019-12-10.21:28:55,1
ProactorEventLoop raises unhandled ConnectionResetError,39010,2019-12-10.21:18:18,1
Missing class getitems in standard library classes,39019,2019-12-10.18:28:53,1
IndexError exception on corrupted zip file,39018,2019-12-10.17:19:43,2
CVE-2019-18348: CRLF injection via the host part of the url passed to urlopen(),38576,2019-12-10.16:24:42,1
doctest.DocTestFinder reports incorrect line numbers with exclude_empty=False,28249,2019-12-10.15:25:39,1
Stop using deprecated imp module; imp should now emit a real DeprecationWarning,25160,2019-12-10.15:04:06,1
Allow doctest to find line number of __test__ strings if formatted as a triple quoted string.,24925,2019-12-10.14:10:12,1
test_largefile: TestSocketSendfile.test_it() failed on AMD64 Fedora Stable Refleaks 3.x,39004,2019-12-10.12:29:56,2
SyntaxError: 'break' outside loop for legal Expression,39013,2019-12-10.12:07:15,2
'make install' fails when the configure 'prefix' is '/' and DESTDIR is used,31114,2019-12-10.12:01:16,1
Add a build infrastructure for Android,30386,2019-12-10.11:59:46,2
C API dictionary views type checkers are not documented,35827,2019-12-10.11:21:51,1
Client SSLSocket with select.select() always returns readable with OpenSSL 1.1.1,37535,2019-12-10.08:53:47,2
"unittest fails with ""Start directory is not importable"" when trying to run sourceless tests",26859,2019-12-10.08:16:01,1
python v3.5.1: sys.paths not respecting DESTDIRS and DESTSHARED,26971,2019-12-10.08:15:26,1
byte-compile fails for cross-builds,22724,2019-12-10.08:15:02,1
